observation_id,source_id,dataset_version,source_table,experiment,strain_or_population,replicate,generation,environment,measurement_kind,measurement_value,measurement_lower,measurement_upper,uncertainty_type,uncertainty_level,measurement_units,mutation_rate_multiplier,mutation_rate_multiplier_lower,mutation_rate_multiplier_upper,mutation_rate_multiplier_uncertainty_type,fitness_control,fitness_control_description,raw_source_file,method_notes,curation_notes,calibration_role
sprouffske_2018_fitness_mrm_rep4_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRM,4,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,1.76470588235,1,3.24,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrm_rep5_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRM,5,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,0.735294117647,0.288888888889,1.92,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrm_rep6_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRM,6,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,6.23529411765,3.75555555556,10.64,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrm_rep7_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRM,7,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,4.38235294118,2.57777777778,7.72,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrm_rep8_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRM,8,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,3.64705882353,1.86666666667,7.36,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_ancestor_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,Ancestor,0,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,12.1764705882,6.57777777778,23.16,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep1_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,1,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,5.32352941176,2.95555555556,9.84,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep2_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,2,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,7.47058823529,3.95555555556,14.48,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep3_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,3,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,4.35294117647,1.66666666667,11.68,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep4_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,4,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,3.94117647059,2.17777777778,7.36,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep5_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,5,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,13.5294117647,8.22222222222,22.84,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep6_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,6,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,9.88235294118,5.93333333333,16.92,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep7_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,7,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,20.7647058824,9.64444444444,46.28,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrl_rep8_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRL,8,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,19.0882352941,8,46.8,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_ancestor_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,Ancestor,0,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,105.764705882,68.4222222222,168.16,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep1_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,1,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,44.4117647059,27.0222222222,75.04,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep2_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,2,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,36.1470588235,21.9333333333,60.92,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep3_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,3,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,18.4117647059,8.95555555556,38.96,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep4_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,4,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,13.2941176471,5.6,32.44,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep5_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,5,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,5.08823529412,3.04444444444,8.72,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep6_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,6,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,12.1764705882,6.4,23.76,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep7_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,7,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,20.3823529412,11.9111111111,35.84,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
sprouffske_2018_fitness_mrxl_rep8_missing,sprouffske_2018,calibration_dataset_v0,Sprouffske et al. 2018 fitness/growth phenotyping data placeholder,Engineered mutation-rate evolution experiment,MRXL,8,3000,DM1000 original selected environment,relative_fitness,,,,missing,missing exact numeric value,fitness or growth difference relative to named control,2.29411764706,1.2,4.44,derived_interval_from_95ci,,,not yet curated from Sprouffske et al. 2018 Dryad phenotyping archive or figure data,Exact fitness/growth values are not encoded yet; row reserves strain/replicate/generation slot for future curation.,Missing value by design. Add exact Dryad value if available; otherwise document whether figure digitisation is required.,raw_observation_not_fit
